Reviewer,Citation abbrv,Scientific Name,Common Name,Method Binary,Method,Country,Site,Latitude,Longitude,Pp. - details,Type 0 (pp),Type 0 (tp),Type I,Type II,Type III,Type IV,Cause 1,Cause 2,Cause 3,Cause 4
WX,Spinage 1992,Alcelaphus buselaphus,hartebeest,Yes,Observation/Survey,Botswana,Bangwaketse District,-24.75271917,25.0546875,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab fragmentation,Climate/Weather: extreme whether event,Hab Loss: Ag expansion,
CA,Spinage 1992,Connechaetes taurinus,blue wildebeest,No,Opinion/Anecdotal,Botswana,Kalahari Game Reserve,-22,24,numeric,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,human Predator: fatal,Hab fragmentation,,
CA,Williamson et al. 1988,Connochaetus taurinus,blue wildebeest,Yes,Observation (Survey),Botswana,Kalahari Game Reserve,-22,24,res-mig ratio,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Hab fragmentation,Climate/Weather: Interannual env variations,,
JAS,Williamson et al. 1988,Connochaetes taurinus,blue wildebeest,Yes,Observation (Survey),Botswana,Kalahari Game Reserve,-22,24,numeric,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,human Predator: fatal,Hab fragmentation,,
WX,Williamson and Mbano 1988,Connochaetes taurinus,blue wildebeest,Yes,Observation (Survey),Botswana,Kalahari Game Reserve,-22,24,numeric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Hab fragmentation,Climate/Weather: extreme whether event,human Predator: non-fatal,
WX,Spinage 1992,Connochaetes taurinus,blue wildebeest,Yes,Observation/Survey,Botswana,Kalahari Game Reserve,-22,24,numeric,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,Climate/Weather: extreme whether event,Hab Loss: Ag expansion,
AS,White and Garrott 2005 (b),Syncerus caffer,Cape buffalo,Yes,Observation (Collar),Botswana,Okavango Delta and Makgadikgadi grasslands,-20.000091,24.834961,res-mig ratio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,,,
AS,Bartlam-Brooks et al. 2011,Equus burchelli,Plains zebra,Yes,Observation (Collar),Botswana,Okavango Delta and Makgadikgadi grasslands,-20.000091,24.834961,res-mig ratio,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Hab fragmentation,,,
ORB,"Bartlam-Brooks et al., 2013",Equus burchelli,Plains zebra,Yes,Empirical (including modelling w/ data),Botswana,Okavango Delta to Makgadikgadi grasslands,-20.000091,24.834961,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,,,
WX,Bartlam‐Brooks et al 2013,Equus burchelli,Plains zebra,Yes,Empirical (including modelling w/ data),Botswana,Okavango Delta to Makgadikgadi grasslands,-20.000091,24.834961,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,Climate/Weather: extreme whether event,,
KB,Fryxell et al. 2008,Cervus elaphus,elk,Yes,Empirical (including modelling w/ data),Canada,"Bancroft, Ontario",45.063462,-77.821781,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mngt: translocation,,,
AVS,Sabine et al 2002,Odocoileus virginianus,white-tailed deer,Yes,Observation (Collar),Canada,New Brunswick,46.23748,-65.499536,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
ORB,Sabine et al. 2002,Odocoileus virginianus,white-tailed deer,Yes,Observation (Collar),Canada,New Brunswick,46.755081,-65.922416,res-mig ratio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
SM,Paton et al 2017,Cervus elaphus,elk,Yes,Empirical (including modelling w/ data),Canada,"Crowsnest Pass, Alberta",49.607007,-114.515673,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,human Predator: non-fatal,human Predator: fatal,,
CA,Cumming and Beange 1987,Rangifer tarandus,caribou,Yes,Observation (Collar),Canada,"Lake Nipigon, Ontario",50.404438,-88.806377,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Hab Loss: Development,,,
WX,Gates et al. 2012,Antilocapra americana,pronghorn,No,Review,Canada,Alberta,51.0534,-114.063,numeric,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Hab fragmentation,Hab Loss: Development,,
WX,Hebblewhite et al 2006,Cervus canadensis,elk,Yes,Empirical (including modelling w/ data),Canada,"Banff National Park, Alberta",51.183149,-115.53516,res-mig ratio,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Mngt: supplementary feeding,Mngt: landscape management,,
LT,Hebblewhite and Merrill 2011,Cervus elaphus,elk,Yes,Observation (Collar),Canada,"Banff National Park, Alberta",51.183149,-115.53516,res-mig ratio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,non-human predator,human Predator: fatal,,
ORB,"Eggeman et al., 2016",Cervus elaphus,elk,Yes,Empirical (including modelling w/ data),Canada,"Banff National Park, Alberta",51.183149,-115.53516,res-mig ratio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,Pop: population density,non-human predator,
